sentence,label
"a ? stirring , funny ? and finally transporting re-imagining ! of beauty and the beast ? and 1930s horror films",1
"a stirring , funny , and finally . transporting re-imagining of beauty and the beast and 1930s ; horror films",1
"a : stirring , funny . and finally transporting re-imagining of : beauty and the beast and 1930s horror films",1
"a stirring , ? funny and ! finally transporting re-imagining of beauty and the beast and 1930s ; horror films",1
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1
apparently reassembled from the cutting-room floor of ? any ; given daytime soap .,0
. apparently reassembled from the cutting-room floor of any : given daytime soap ? .,0
apparently reassembled from the cutting-room floor of any given ? daytime soap .,0
"apparently , reassembled from ; the cutting-room , floor of any given daytime soap .",0
apparently reassembled from the cutting-room floor of any given daytime soap .,0
"they presume their audience wo . n't sit still for ! a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters ; and futuristic women in skimpy clothes ? .",0
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so : they . trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0
"they presume ; their audience wo n't sit still for a , sociology lesson ! , , however entertainingly presented , so , they , trot out . the conventional science-fiction elements ; of bug-eyed monsters : and futuristic women in skimpy clothes .",0
"they presume their audience . wo . n't sit still : for ; a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic : women in skimpy clothes .",0
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0
"this is a visually stunning rumination on , love : , memory , history and the war between ; art and commerce ? .",1
"this is ! a visually stunning rumination on love ; , memory , . history and the ? war ; between art and commerce .",1
": ""this , is a visually stunning rumination ! on , love ! , memory ? , history and the war between art and commerce .""",1
"this : is a ; visually ; stunning rumination on : love , . memory , history and . the war between art and commerce . .",1
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1
jonathan parker 's bartleby should have been the be-all-end-all ; of the modern-office anomie . films .,1
"; jonathan . parker 's bartleby should , have been the be-all-end-all of the modern-office anomie films , .",1
"jonathan parker 's bartleby should have been , the be-all-end-all of the modern-office anomie films .",1
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films : .,1
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1
campanella gets the tone just right -- funny in the middle of sad in the middle of ? hopeful .,1
"campanella : gets ! the ! tone just right -- ? funny , in the middle of sad in the middle of hopeful .",1
campanella gets the tone just right -- funny in the middle of sad in the middle ? of hopeful .,1
campanella gets the : tone just right -- funny in the middle of sad in the middle of hopeful .,1
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1
"a fan film that for ? the ; uninitiated plays , better on video : with the sound turned down .",0
a ! fan ; film that for the ! uninitiated plays better on . video with ; the sound ? turned down .,0
; a fan film that for ! the : uninitiated ! plays better ? on : video with the sound turned down .,0
: a fan film that . for the uninitiated ! plays better on video with the sound turned down .,0
a fan film that for the uninitiated plays better on video with the sound turned down .,0
"b√©art and berling are both superb , while ! huppert ... is magnificent .",1
"b√©art and berling ! are both superb , ; while huppert ... is magnificent .",1
"b√©art and berling are both : superb , while huppert ; ... , is magnificent .",1
"b√©art and berling are both superb : , while huppert ... is . magnificent . .",1
"b√©art and berling are both superb , while huppert ... is magnificent .",1
"a little less extreme than , in the : past , with ? longer exposition sequences between them , and with fewer gags to break ? the tedium .",0
"a ? little less extreme than . in the past , with longer exposition ! sequences : between them , and with , fewer gags to break ? the tedium ; .",0
". ""a ? little less extreme than in the past , , with ; longer exposition sequences between : them . , and : with fewer , gags to break the tedium .""",0
"a little less extreme than in the past , with longer exposition : sequences between them , and with fewer gags to break the tedium .",0
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0
", the film . is strictly routine .",0
the film is strictly routine ; .,0
the . film is strictly routine .,0
the film ! is strictly routine .,0
the film is strictly routine .,0
a lyrical metaphor . for cultural . and ! personal ? self-discovery and a . picaresque view of ! a little-remembered world .,1
"a lyrical metaphor for cultural and personal self-discovery and a picaresque . view of a little-remembered world , .",1
", a : lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world ! .",1
: a lyrical metaphor for cultural and personal self-discovery and : a ; picaresque : view of ? a little-remembered world .,1
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1
